Timestamp,Do you believe in a personal God?,"How would you categorize yourself, religiously speaking",How often do you voluntarily attend religious services?,How would you categorize your beliefs?,Supernatural forces exist which cannot be directly addressed by science,"We can relate to God personally, as opposed to an impersonal force",God (or gods) communicate by divine revelation to humans,Holy scriptures are a reliable source of divine truth,Unrighteousness or wrongdoing will be punished in the afterlife,What is your primary programming language used at work (if any)?,What is your favorite programming language?,How many years have you been programming?,Righteousness is rewarded in the afterlife,God communicates to people in ways we can clearly understand,Holy scriptures are a reliable source of practical guidance for everyday life,All people will eventually be reconciled with or joined to God,I have personally had a supernatural spiritual experience,God loves everybody,How many years have you been programming professionally?,How would you describe your education?,Human beings are basically or inherently good,Human suffering in this life is caused by sin or unrighteousness,"Human beings were specially created in their present form, apart from natural processes",Naturalistic theories are insufficient to account for the origin and complexity of life,Feedback
4/25/2014 12:43:29,,,Never,Atheist,1,1,,1,1,golang,golang,20,1,1,1,1,1,1,10,Some higher education,,,,,
4/25/2014 12:48:30,,,Never,"Buddhist, Agnostic, Atheist",2,1,,1,1,Javascript,Python,10,1,1,1,5,1,5,1,Graduate degree,,,,,
4/25/2014 12:49:04,,,Never,Agnostic,1,3,,1,1,,c#,3,1,1,3,1,1,1,,Some higher education,,,,,
4/25/2014 12:49:53,,,Never,Atheist,1,1,,1,1,"Haskell, OCaml, Clojure",Haskell,10,1,1,4,1,1,1,1,Graduate degree,,,,,
4/25/2014 12:49:29,,,Never,Myself,1,1,,1,1,java,python,5,1,1,1,1,1,5,1,Bachelor's degree,,,,,
4/25/2014 12:51:03,,,Never,Atheist,1,1,,1,1,php,php,50,1,1,1,1,1,1,35,Graduate degree,,,,,
4/25/2014 12:51:00,,,Never,"Agnostic, Atheist",4,1,,1,1,Java,Python,4,1,1,1,1,1,1,1,Graduate degree,,,,,
4/25/2014 12:50:42,,,Never,Agnostic,2,2,,1,1,C#,Go,8,1,1,1,1,2,1,5,Some higher education,,,,,
4/25/2014 12:50:32,,,At least once a year,Atheist,1,1,,1,1,Python,C++,14,1,1,2,1,1,1,8,Some higher education,,,,,
4/25/2014 12:51:08,,,Never,Agnostic,2,1,,1,1,Java,Scala,15,1,1,1,1,1,1,8,Bachelor's degree,,,,,
4/25/2014 12:51:56,,,At least once a year,"Pagan, Liberal, Agnostic, Atheist, Humanist",4,1,,1,1,Python,Python,25,1,1,1,1,4,1,23,Bachelor's degree,,,,,
4/25/2014 12:51:58,,,Never,Atheist,1,1,,1,1,Java,Haskell,35,1,1,2,1,1,1,20,High school diploma,,,,,
4/25/2014 12:54:46,,,At least once a year,Christian,5,5,,3,1,Mathematica,Haskell,3,1,4,3,5,5,5,,Graduate degree,,,,,
4/25/2014 12:53:37,,,More than twice a week,Christian,5,4,,5,4,"Java, C++",Idris,7,4,5,4,1,5,5,3,Bachelor's degree,,,,,
4/25/2014 12:52:36,,,At least once a year,Atheist,2,1,,1,1,Java,Python,5,1,1,2,1,2,5,2,Bachelor's degree,,,,,
4/25/2014 12:54:52,,,Never,Agnostic,3,1,,1,1,java,clojure,10,1,1,4,3,2,3,8,Graduate degree,,,,,
4/25/2014 12:55:03,,,Never,Atheist,1,1,,1,1,Pascal,Java,5,1,1,1,5,1,5,1,Bachelor's degree,,,,,
4/25/2014 12:55:54,,,At least once a year,Humanist,1,1,,1,1,java,scala,25,1,1,2,1,1,2,10,Graduate degree,,,,,
4/25/2014 12:56:06,,,At least once a week,Christian,5,4,,5,5,Java,Python,5,4,3,4,1,3,5,1,Bachelor's degree,,,,,
4/25/2014 12:55:33,,,Never,"Buddhist, Pagan, Agnostic",1,5,,1,2,C++,Haskell,2,4,3,4,5,2,5,1,Some higher education,,,,,
4/25/2014 12:55:31,,,Never,"Agnostic, Atheist",1,1,,1,1,C++,C++,2,1,1,2,1,1,1,0.0000000001,Some or no formal education,,,,,
4/25/2014 12:55:19,,,At least once a year,Atheist,1,1,,1,1,Java,Java,30,1,1,3,1,1,1,26,Bachelor's degree,,,,,
4/25/2014 12:59:00,,,Never,Atheist,1,1,,1,1,"Php, Ruby, Python",Ruby,7,1,1,1,1,1,1,7,Bachelor's degree,,,,,
4/25/2014 12:58:59,,,At least once a year,Buddhist,1,1,,1,1,"perl,python,bash",lisp,45,1,1,4,1,1,1,40,Some post-graduate education,,,,,
4/25/2014 12:59:31,,,Never,Humanist,4,4,,1,1,"php, python, ruby",php,32,1,1,4,3,5,3,30,High school diploma,,,,,
4/25/2014 12:58:46,,,At least once a month,"Christian, Liberal",3,4,,3,2,Ruby,C,25,2,1,2,,1,3,16,Graduate degree,,,,,
4/25/2014 12:59:44,,,Never,Atheist,1,1,,1,1,"python,java,javascript",pytho,10,1,1,1,1,1,1,3,Graduate degree,,,,,
4/25/2014 12:59:59,,,Never,Atheist,1,1,,1,1,javascript,python,3,1,1,3,1,1,3,1,Graduate degree,,,,,
4/25/2014 13:00:12,,,Never,"Agnostic, Atheist",1,1,,1,1,"Python, Java, JavaScript",Python,20,1,1,3,1,1,3,14,Bachelor's degree,,,,,
4/25/2014 13:02:24,,,Never,Atheist,1,1,,1,1,,Java,6,1,1,1,1,1,,,Bachelor's degree,,,,,
4/25/2014 13:03:11,,,At least once a year,Christian,1,5,,3,3,c,scheme,22,5,3,5,3,1,,15,Graduate degree,,,,,
4/25/2014 13:02:11,,,Never,Atheist,1,1,,1,1,C,C,20,1,1,1,1,1,,15,Some post-graduate education,,,,,
4/25/2014 13:03:43,,,Never,"Atheist, Humanist",1,1,,1,1,C#,C#,22,1,1,2,1,1,,14,Bachelor's degree,,,,,
4/25/2014 13:03:50,,,Never,"Buddhist, Humanist, Druid",1,1,,1,1,"HTML,CSS,JS,PHP,Perl",C+,38,1,1,2,1,1,,22,Bachelor's degree,,,,,
4/25/2014 13:03:55,,,At least once a year,Christian,4,5,,4,5,Java,Python,6,5,4,4,2,2,,2,Bachelor's degree,,,,,
4/25/2014 13:04:42,,,Never,Atheist,1,1,,1,1,php,php,10,1,1,1,1,1,,10,Some higher education,3,3,3,,
4/25/2014 13:04:06,,,Never,Agnostic,1,1,,1,1,Python,Python,18,1,1,3,1,1,,10,Bachelor's degree,4,4,,,
4/25/2014 13:06:26,,,Never,Atheist,1,1,,1,1,Java,Java,3,1,1,1,1,1,,3,Some higher education,4,3,1,1,
4/25/2014 13:05:53,,,At least once a month,Christian,1,4,,1,3,"Python, Java, C, Go",lisp,5,3,2,4,2,1,,1,Bachelor's degree,4,4,1,1,
4/25/2014 13:05:55,,,Never,"Hindu, Buddhist, Liberal, Moderate, Humanist",2,5,,1,1,,javascript,2,2,1,1,4,4,,1,Some higher education,,,,,
4/25/2014 13:05:53,,,Never,Atheist,1,1,,1,1,PHP,Ruby,16,1,1,1,1,1,,10,Two-year (associate's) degree,1,1,1,1,
4/25/2014 13:07:54,,,At least once a week,"Christian, Jewish, Buddhist, Liberal",1,1,,1,1,"perl, pl/b",perl,30,1,1,3,5,5,,25,Bachelor's degree,4,1,1,1,
4/25/2014 13:05:40,,,Never,Conservative,1,5,,1,3,Python,OCaml,32,3,1,2,3,1,,13,Some post-graduate education,1,2,1,1,
4/25/2014 13:09:41,,,At least once a week,Christian,1,5,,4,5,java,python,20,5,5,4,2,5,,15,Some post-graduate education,5,3,2,4,
4/25/2014 13:08:48,,,Never,"Liberal, Atheist",1,3,,1,1,C#,C#,20,1,3,1,3,1,,14,Some higher education,,,,,
4/25/2014 13:08:44,,,Never,Atheist,1,1,,1,1,C#,C#,20,1,1,,1,1,,10,Some post-graduate education,4,1,1,1,
4/25/2014 13:08:08,,,Never,Atheist,1,1,,1,1,Python,Python,2,1,1,3,1,1,,1,High school diploma,4,1,1,1,
4/25/2014 13:08:16,,,Never,"Atheist, Humanist",1,1,,1,1,c#,c#,8,1,1,1,1,1,,1,Some or no formal education,3,1,1,1,
4/25/2014 13:10:13,,,Never,Atheist,1,1,,1,1,Java,C++,12,1,1,3,1,1,,4,High school diploma,,,,,
4/25/2014 13:10:02,,,Never,Atheist,1,1,,1,1,C++,C++,20,1,1,1,1,1,,10,Graduate degree,3,1,1,1,
4/25/2014 13:10:25,,,Never,"Moderate, Agnostic, Atheist, Humanist, Anti-oragnized religion",2,1,,1,2,java,python,7,2,1,1,1,4,,3,Bachelor's degree,3,2,1,2,
4/25/2014 13:10:26,,,Never,Deist,1,4,,4,2,Ruby,Ruby,35,4,3,5,3,1,,25,Some higher education,5,2,1,3,
4/25/2014 13:11:06,,,Never,Atheist,1,1,,1,1,c++,c++,14,1,1,1,1,1,,12,Two-year (associate's) degree,4,1,1,1,
4/25/2014 13:12:24,,,Never,"Pagan, Liberal, Agnostic, Atheist, Humanist",1,,,,1,"Javascript,PHP",Javascript,30,1,,,1,1,,20,Bachelor's degree,4,1,1,1,
4/25/2014 13:12:19,,,At least once a year,"Agnostic, Atheist, Humanist",2,1,,1,1,Java,Java,24,1,1,1,1,1,,12,Bachelor's degree,,,,,
4/25/2014 13:13:04,,,Never,Atheist,1,1,,1,1,javascript,c#,8,1,1,3,1,1,,5,Bachelor's degree,3,1,1,1,
4/25/2014 13:14:13,,,At least once a year,Atheist,1,1,,1,1,java,java,6,1,1,1,1,1,,5,Graduate degree,3,1,1,1,
4/25/2014 13:13:55,,,At least once a month,"Liberal, Moderate, Atheist, Humanist",1,2,,1,1,C#,Go,15,1,1,1,1,1,,7,Some post-graduate education,3,2,1,1,
4/25/2014 13:13:45,,,At least once a week,Christian,5,5,,5,5,VB.nET,Javascript,20,5,5,5,5,5,,10,Bachelor's degree,1,5,5,5,
4/25/2014 13:13:17,,,Never,"Christian, Moderate, Humanist",5,3,,3,4,"Common Lisp, PHP, Python",Common Lisp,15,4,2,4,4,1,,10,Bachelor's degree,2,2,3,5,
4/25/2014 13:14:18,,,Never,Atheist,1,1,,1,1,"Python,Java",Python,20,1,1,1,1,1,,15,Some higher education,3,1,1,1,
4/25/2014 13:14:32,,,Never,"Moderate, Atheist, Humanist",1,1,,1,1,Java,Clojure,30,1,1,1,1,1,,20,Bachelor's degree,4,1,1,1,
4/25/2014 13:14:39,,,Never,"Agnostic, Atheist",2,1,,1,1,C#,Python,8,1,1,2,1,1,,1,Some higher education,1,2,2,,
4/25/2014 13:16:01,,,Never,Humanist,1,,,,,C#,C#,12,,,2,,1,,9,Some higher education,3,,1,1,
4/25/2014 13:15:54,,,Never,Misc.,1,1,,1,1,Java,c++,10,1,1,1,1,1,,3,Two-year (associate's) degree,,,,,
4/25/2014 13:16:32,,,At least once a week,Christian,5,5,,5,5,C++,Python,27,5,4,5,2,3,,6,Graduate degree,1,4,3,4,
4/25/2014 13:17:20,,,Never,Atheist,1,1,,1,1,"ruby, go, C#",Haskell,35,1,1,1,1,1,,30,Bachelor's degree,2,1,1,1,
4/25/2014 13:18:00,,,Never,Atheist,1,1,,1,1,C,OCaml,5,1,1,2,1,1,,2,Some higher education,1,1,1,1,
4/25/2014 13:17:39,,,Never,Atheist,1,1,,1,1,C#,C++,8,1,1,1,1,1,,2,Bachelor's degree,1,1,1,1,
4/25/2014 13:18:43,,,At least once a week,"Christian, Liberal, platonist",3,3,,3,1,scala,scala,13,1,2,3,3,3,,11,Some higher education,3,1,1,2,
4/25/2014 13:21:00,,,Never,"Liberal, Agnostic, Atheist, Humanist",1,1,,1,1,Ruby,Ruby,19,1,3,1,1,1,,9,Bachelor's degree,2,1,1,1,
4/25/2014 13:19:45,,,Never,Agnostic,3,1,,1,1,java,perl,10,1,1,1,1,1,,6,Some post-graduate education,4,1,1,4,
4/25/2014 13:21:40,,,Never,Atheist,1,1,,1,1,C++,Haskell,18,1,1,1,1,1,,8,Bachelor's degree,3,1,1,2,
4/25/2014 13:22:19,,,Never,Atheist,1,1,,1,1,"Perl, Python, C, C++",D,6,1,1,1,1,1,,1,Bachelor's degree,4,1,1,1,
4/25/2014 13:22:35,,,Never,Humanist,1,1,,1,1,c#,Javascript,12,1,1,1,1,1,,12,Some post-graduate education,1,1,1,1,
4/25/2014 13:25:09,,,Never,Atheist,1,1,,1,1,,Java,6,1,1,1,1,1,,,High school diploma,3,1,1,3,
4/25/2014 13:24:37,,,Never,"Jewish, Agnostic",4,1,,1,2,C#,C#,10,2,1,1,2,3,,7,Two-year (associate's) degree,1,1,1,1,
4/25/2014 13:26:29,,,Never,Atheist,1,1,,1,1,"Javascript,SQL,PHP",Javascript,10,1,1,1,1,1,,5,Bachelor's degree,1,1,1,1,
4/25/2014 13:26:17,,,Never,Atheist,2,1,,1,1,java,java,8,1,1,1,1,1,,3,Bachelor's degree,4,1,1,1,
4/25/2014 13:27:08,,,Never,"Atheist, Humanist",1,1,,1,1,"java, python",clojure,6,,1,1,1,1,,2,Graduate degree,3,1,1,1,
4/25/2014 13:26:07,,,Never,"Agnostic, Atheist",1,1,,1,1,python,python,7,1,1,1,1,1,,4,Bachelor's degree,3,1,1,,
4/25/2014 13:27:31,,,At least once a week,Christian,5,5,,5,5,C#,C#,9,5,4,5,5,5,,5,Some higher education,3,4,3,5,
4/25/2014 13:27:59,,,At least once a year,Christian,3,3,,3,3,"Java, Ruby, JavaScript",Java,6,3,3,4,3,1,,4,Bachelor's degree,2,4,4,4,
4/25/2014 13:29:32,,,Never,Atheist,1,1,,1,1,C#,C++,30,1,1,1,1,1,,15,Some higher education,3,1,1,1,
4/25/2014 13:27:48,,,Never,Atheist,1,1,,1,1,C,Racket,1,1,1,1,1,1,,1,Bachelor's degree,4,1,1,1,
4/25/2014 13:29:22,,,At least once a year,Atheist,1,4,,1,1,"C#, JavaScript",JavaScript,4,1,1,2,1,1,,1,Bachelor's degree,3,1,1,1,
4/25/2014 13:29:29,,,Never,Atheist,1,1,,1,1,C#,C#,11,1,1,1,1,1,,3,Some post-graduate education,5,1,1,1,
4/25/2014 13:30:08,,,At least once a month,Christian,5,4,,3,4,C#,C++,10,4,4,3,4,4,,7,Bachelor's degree,4,3,3,4,
4/25/2014 13:30:38,,,Never,Agnostic,3,1,,2,2,Lua,Java,11,2,1,2,2,3,,7,Bachelor's degree,2,2,2,3,
4/25/2014 13:30:55,,,Never,Atheist,1,1,,1,1,python,python,10,1,1,1,1,1,,10,Bachelor's degree,2,1,1,1,
4/25/2014 13:31:13,,,Never,"Agnostic, Atheist, Humanist",1,1,,1,1,java,c++,25,1,1,1,1,1,,15,Graduate degree,3,1,1,1,
4/25/2014 13:31:11,,,At least once a week,Christian,5,5,,5,5,Clojure,Clojure,20,5,4,5,1,5,,20,Graduate degree,1,5,5,5,
4/25/2014 13:31:52,,,At least once a year,Buddhist,5,1,,1,2,ruby,ruby,14,4,3,3,3,5,,4,Bachelor's degree,5,1,1,4,
4/25/2014 13:32:48,,,Never,Atheist,1,1,,1,1,"C, C++, Python, Assembly, ",Python,8,1,1,1,1,1,,2,Some post-graduate education,1,1,1,1,
4/25/2014 13:33:53,,,Never,Atheist,1,1,,1,1,C#,C#,9,1,1,1,1,1,,9,Bachelor's degree,3,1,1,1,
4/25/2014 13:33:39,,,Never,"Agnostic, Atheist",2,1,,1,3,C++,Python,15,3,1,1,3,1,,8,Bachelor's degree,2,1,1,2,
4/25/2014 13:34:06,,,Never,Atheist,2,1,,1,1,"python,c,racket,lisp",python,7,1,1,1,1,1,,4,Bachelor's degree,1,1,1,1,
4/25/2014 13:34:26,,,At least once a week,Christian,5,5,,5,3,"c#, javascript, sql",c#,35,3,4,5,1,2,,30,Bachelor's degree,2,4,2,5,
4/25/2014 13:34:31,,,Never,Agnostic,2,1,,1,1,VHDL,Lisp,5,1,1,2,2,1,,2,Graduate degree,3,1,1,1,
4/25/2014 13:34:31,,,At least once a year,"Christian, Conservative, Agnostic",5,3,,2,1,"JavaScript, c++,python",c++,6,1,3,4,2,1,,4,Some higher education,1,1,1,4,
4/25/2014 13:34:45,,,At least once a week,Christian,5,5,,5,5,C,C,11,5,4,5,1,4,,3,Bachelor's degree,5,3,3,4,
4/25/2014 13:36:12,,,Never,Atheist,2,1,,1,1,PHP,OCaml,30,1,1,1,1,1,,20,Graduate degree,3,1,1,1,
4/25/2014 13:36:13,,,Never,"Buddhist, Liberal, Humanist",3,1,,3,1,Java,Scala,11,1,1,4,5,3,,6,Bachelor's degree,3,1,1,2,
4/25/2014 13:37:25,,,Never,Agnostic,,,,,,c sharp,c sharp,4,,,,,,,1,Bachelor's degree,,,,,
4/25/2014 13:37:34,,,Never,Atheist,1,1,,1,1,Ruby,Ruby,7,1,1,2,1,1,,2,Some higher education,2,2,1,1,
4/25/2014 13:40:30,,,At least once a month,Conservative,3,3,,5,5,E,A,3,4,2,4,5,4,,3,Some or no formal education,5,5,1,2,
4/25/2014 13:37:45,,,At least once a year,Agnostic,2,1,,1,1,JavaScript,JavaScript,12,1,1,3,1,2,,8,Bachelor's degree,2,2,1,1,
4/25/2014 13:39:08,,,Never,Atheist,2,1,,1,1,Java,Python,6,1,1,1,1,1,,2,Some higher education,3,1,1,1,
4/25/2014 13:43:25,,,Never,"Christian, Buddhist, Liberal",4,4,,1,2,python,python,7,2,2,3,1,1,,3,Bachelor's degree,5,1,1,5,
4/25/2014 13:45:08,,,Never,"Atheist, Humanist",1,1,,1,1,python,python,10,1,1,1,1,1,,2,Graduate degree,1,1,1,1,
4/25/2014 13:41:11,,,Never,"Atheist, Humanist",1,1,,1,1,Ruby,Ruby,2,1,1,1,1,1,,1,Bachelor's degree,3,1,1,1,
4/25/2014 13:41:29,,,Never,Atheist,1,1,,1,1,"Javascript, Groovy, SQL, Java",Javascript,17,1,1,2,1,1,,14,Bachelor's degree,3,3,1,1,
4/25/2014 13:45:17,,,At least once a year,"Agnostic, Atheist",1,1,,1,2,C#,Java,5,2,2,4,1,1,,2,Bachelor's degree,2,2,2,2,
4/25/2014 13:45:34,,,Never,Atheist,1,1,,1,1,C#,F#,27,1,1,1,1,1,,20,Some higher education,1,1,1,1,
4/25/2014 13:46:01,,,At least once a year,Buddhist,4,1,,2,4,javascript,clojure,7,4,1,3,1,3,,4,Bachelor's degree,4,4,1,2,
4/25/2014 13:46:05,,,Never,Atheist,1,1,,1,1,c#,c#,24,1,1,1,1,1,,16,Bachelor's degree,3,1,1,1,
4/25/2014 13:46:13,,,Never,Buddhist,1,1,,1,1,c,c,3,1,1,3,1,1,,,Bachelor's degree,4,3,1,1,
4/25/2014 13:46:42,,,Never,Atheist,1,1,,1,1,Java,C#,25,1,1,1,1,1,,12,Bachelor's degree,5,1,1,1,
4/25/2014 13:47:04,,,Never,Atheist,1,1,,1,1,,Haskell,7,1,1,2,1,1,,,High school diploma,2,2,1,1,
4/25/2014 13:47:08,,,At least once a month,"Christian, Liberal, Humanist",4,4,,4,3,"Python, Objective-C",Haskell,7,4,3,4,4,3,,4,Some post-graduate education,2,2,1,1,
4/25/2014 13:48:46,,,At least once a month,Christian,5,5,,4,5,C#,Python ,20,5,4,3,3,5,,18,Bachelor's degree,3,4,1,1,
4/25/2014 13:48:53,,,Never,Atheist,1,1,,1,1,,C++,5,1,1,1,1,1,,1,Some higher education,1,1,1,1,
4/25/2014 13:49:09,,,Never,"Agnostic, Atheist",1,,,,,C++,Java,24,,,1,,1,,5,Graduate degree,4,,,5,
4/25/2014 13:49:32,,,Never,Atheist,1,1,,1,1,"Ruby, C#",Ruby,27,1,1,1,1,1,,20,Some higher education,3,1,1,1,
4/25/2014 13:49:45,,,At least once a month,Atheist,5,1,,1,1,Java,Objective-c,5,1,1,4,3,1,,4,Some post-graduate education,2,1,3,5,
4/25/2014 13:49:40,,,Never,Agnostic,1,5,,1,1,C,Python,10,1,1,1,1,1,,4,Bachelor's degree,1,1,1,1,
4/25/2014 13:52:58,,,Never,Agnostic,1,1,,1,1,C#,python,3,1,1,1,1,1,,1,Bachelor's degree,3,1,1,3,
4/25/2014 13:51:36,,,At least once a month,Christian,4,5,,5,5,python,python,5,5,4,4,5,3,,3,Two-year (associate's) degree,2,3,3,4,
4/25/2014 13:53:55,,,Never,Atheist,1,1,,1,1,"C++, C#, python",C++,4,1,1,2,1,1,,1,Some higher education,1,1,1,1,
4/25/2014 13:55:11,,,Never,Atheist,1,1,,1,1,ruby,ruby,8,1,1,1,1,1,,4,Some post-graduate education,1,1,1,1,
4/25/2014 13:54:07,,,Never,Buddhist,3,3,,3,4,"C#,SQL,ASP,VB6,CSS,HTML,RAZOR,JavaScript",SQL,6,4,2,4,2,3,,1.5,Bachelor's degree,3,3,3,3,
4/25/2014 13:53:46,,,At least once a month,Agnostic,2,3,,1,2,C++,Haskell,10,2,3,1,3,1,,7,Graduate degree,1,1,1,2,
4/25/2014 13:55:59,,,At least once a year,Agnostic,1,1,,1,2,,python,2,3,1,2,2,1,,1,Some higher education,4,1,1,1,
4/25/2014 13:59:38,,,Never,Atheist,5,5,,5,5,C,LISP,25,5,5,5,5,5,,10,Bachelor's degree,3,5,5,5,
4/25/2014 13:58:12,,,Never,Atheist,1,1,,1,1,Python,Python,21,1,1,1,1,1,,13,Bachelor's degree,3,2,1,1,
4/25/2014 13:58:12,,,At least once a year,"Christian, Liberal, Moderate, Conservative",1,1,,1,1,,python,1,1,5,1,1,1,,,Some higher education,3,1,1,3,
4/25/2014 13:58:04,,,Never,Atheist,1,1,,1,1,scala,ruby,20,1,1,1,1,1,,12,Bachelor's degree,1,1,1,1,
4/25/2014 13:57:12,,,Never,Christian,3,2,,4,2,PHP,PHP,1,4,2,2,1,4,,0.5,Bachelor's degree,1,3,1,1,
4/25/2014 13:57:10,,,Never,Atheist,1,1,,1,1,ruby,scheme,5,1,1,1,1,1,,1,Some higher education,3,1,1,1,
4/25/2014 14:00:49,,,Never,Atheist,1,1,,1,1,C++,C++,3,1,1,1,1,1,,1,Bachelor's degree,1,1,1,1,
4/25/2014 14:00:47,,,Never,"Agnostic, Atheist",1,,,1,1,Java,Javascript,11,1,1,1,1,1,,1,Bachelor's degree,4,1,1,1,
4/25/2014 14:00:30,,,Never,Agnostic,1,1,,1,1,objective c,c,20,1,1,1,1,1,,10,Graduate degree,1,1,1,1,
4/25/2014 14:01:14,,,Never,Atheist,3,2,,2,3,C#,C#,4,3,2,2,2,2,,1,Bachelor's degree,3,2,2,4,
4/25/2014 14:00:58,,,Never,Agnostic,3,,,1,3,scala,scala,10,3,,2,1,5,,2,Bachelor's degree,3,1,1,1,
4/25/2014 14:01:23,,,Never,"Atheist, Humanist",1,1,,1,1,FORTRAN,Clojure,35,1,1,1,1,1,,32,Bachelor's degree,4,3,1,1,
4/25/2014 14:02:31,,,Never,Atheist,1,,,1,1,"Scala, C#, Java",Haskell,15,1,1,1,1,1,,8,Graduate degree,2,3,1,1,
4/25/2014 14:03:05,,,Never,"Moderate, Agnostic, Atheist, Humanist",3,3,,1,1,C++,Python,10,1,1,1,1,1,,4,Bachelor's degree,5,1,1,1,
4/25/2014 14:03:30,,,Never,Atheist,1,1,,1,1,Python,Python,3,1,1,1,1,1,,1,Bachelor's degree,3,1,1,1,
4/25/2014 14:04:22,,,Never,Agnostic,1,3,,1,1,C#,C#,15,1,1,1,1,1,,4,Bachelor's degree,3,1,1,1,
4/25/2014 14:04:13,,,Never,Agnostic,1,3,,1,1,C#,C#,15,1,1,1,1,1,,4,Bachelor's degree,3,1,1,1,
4/25/2014 14:03:54,,,Never,Atheist,1,1,,1,1,Python,Haskell,7,1,1,2,1,1,,5,Some or no formal education,3,2,1,1,
4/25/2014 14:03:54,,,Never,"Atheist, Humanist",1,1,,1,1,Python,Python,2,1,1,2,1,1,,1,Bachelor's degree,4,1,1,1,
4/25/2014 14:04:28,,,Never,Atheist,1,1,,1,1,"C++, Python, Java",C,10,1,1,1,1,1,,4,Bachelor's degree,1,1,1,1,
4/25/2014 14:05:01,,,Never,Atheist,1,1,,1,1,SQL,SQL,10,1,1,1,1,1,,6,Bachelor's degree,5,1,1,1,
4/25/2014 14:05:11,,,Never,Atheist,1,1,,1,1,Javascript,BASIC,15,1,1,1,1,1,,5,Some higher education,1,1,1,1,
4/25/2014 14:06:48,,,Never,Atheist,1,1,,1,1,"C++, VB",F#,20,1,1,1,1,1,,6,Graduate degree,1,1,1,1,
4/25/2014 14:08:52,,,Never,"Liberal, Agnostic, Atheist, Humanist",2,1,,1,1,C#,C#,9,1,1,1,1,1,,4,Bachelor's degree,5,1,1,1,
4/25/2014 14:09:37,,,More than twice a week,"Christian, Jewish, Muslim, Hindu, Buddhist, Pagan, Liberal, Moderate, Conservative, Agnostic, Atheist, Humanist, Troll",5,5,,5,5,Nolang,Jesal,60,5,5,5,5,5,,55,Some or no formal education,1,5,5,5,
4/25/2014 14:09:58,,,Never,Agnostic,1,1,,1,1,"PHP, JavaScript",C++,10,1,1,1,1,1,,1,Some post-graduate education,3,1,1,1,
4/25/2014 14:10:40,,,Never,Atheist,1,1,,1,1,C#,C#,8,1,1,4,1,1,,3,Some post-graduate education,1,3,1,1,
4/25/2014 14:11:21,,,More than twice a week,"Muslim, ahmadi",4,5,,4,5,,C,3,5,5,5,5,5,,,Some higher education,3,2,1,3,
4/25/2014 14:13:02,,,Never,Christian,5,4,,4,3,wlanguage,java,3,3,3,4,1,3,,2,,2,3,3,3,
4/25/2014 14:13:31,,,Never,Agnostic,1,1,,1,1,C# / C++,C#,8,1,1,1,1,1,,3,Bachelor's degree,1,1,1,1,
4/25/2014 14:14:23,,,Never,Atheist,1,1,,1,1,Ruby,Clojure,10,1,1,1,1,1,,5,Bachelor's degree,1,1,1,1,
4/25/2014 14:14:14,,,Never,Atheist,1,1,,1,1,c#,f#,29,1,1,1,1,1,,29,Some post-graduate education,1,1,1,1,
